medio,titulo,fecha,categoria_original,texto,url
La Prensa,"Panamá vuelve a convocar a América, 200 años después del sueño de Bolívar",2026-06-15,politica,"Hace 200 años, Panamá recibió una idea demasiado grande para su tiempo: reunir a las jóvenes repúblicas americanas bajo una misma mesa, lograr que se miraran de frente, que discutieran sus diferencias y que ensayaran ...",https://www.prensa.com/politica/panama-vuelve-a-convocar-a-america-200-anos-despues-del-sueno-de-bolivar/
La Prensa,¿Cuándo volverán las economías mundiales a la normalidad tras el acuerdo entre Estados Unidos e Irán?,2026-06-15,economia,Faarea Masud; Rachel Clun - Reporteros de negocios de la BBC; Jonathan Josephs...,https://www.prensa.com/economia/cuando-volveran-las-economias-mundiales-a-la-normalidad-tras-el-acuerdo-entre-estados-unidos-e-iran/
La Prensa,Suecia golea a Túnez y salta al primer lugar del Grupo F,2026-06-15,deportes,La selección de Suecia goleó este domingo por 5-1 a la de Túnez tras someterla desde los primeros minutos y el triunfo le permitió saltar al primer lugar del Grupo F que también integran Países Bajos y Japón....,https://www.prensa.com/deportes/suecia-golea-a-tunez-y-salta-al-primer-lugar-del-grupo-f/
La Prensa,Se entrega uno de los evadidos de La Joyita requerido por robo agravado,2026-06-15,judiciales,"Osmir Óscar Batista Aripe, prófugo del centro penitenciario La Joyita, se entregó voluntariamente ante las autoridades judiciales, informó la Policía Nacional (PN)....",https://www.prensa.com/judiciales/se-entrega-evadido-de-la-joyita-requerido-por-robo-agravado/
La Prensa,España revive fantasmas del Mundial,2026-06-15,deportes,"España debutó en el Mundial con la vitola de favorita. Un partido inicial para poner las cartas sobre la mesa, pero sufrió en exceso. Ritmo plano y movimiento lento de balón a pesar de las condiciones climáticas perfe...",https://www.prensa.com/deportes/espana-revive-fantasmas-del-mundial/
La Prensa,"Un gol, un récord y una victoria: la noche soñada de Amad Diallo",2026-06-15,deportes,"En un partido muy disputado entre Ecuador y Costa de Marfil, que registró un total de 27 remates entre ambas selecciones, el desenlace llegó en el minuto 90....",https://www.prensa.com/deportes/un-gol-un-record-y-una-victoria-la-noche-sonada-de-amad-diallo/
La Prensa,"Andrés Andrade y Carlos Harvey, piezas clave en Panamá: analizan a Ghana y su rol en el Mundial 2026",2026-06-15,deportes,"La selección de Panamá continúa afinando detalles de cara a su debut en la Copa del Mundo 2026 este miércoles 17 de junio ante Ghana, en el BMO Field de Toronto, en un compromiso correspondiente al Grupo L, que tambié...",https://www.prensa.com/deportes/andres-andrade-y-carlos-harvey-piezas-clave-en-panama-analizan-a-ghana-y-su-rol-en-el-mundial-2026/
La Prensa,Habilitarán estadios y gimnasios del país con pantallas gigantes gratis para ver a ‘La Sele’,2026-06-15,vivir,"Panamá contará con cinco “Fan Zones” públicos en el país para disfrutar gratis con pantallas gigantes los próximos partidos de la Selección Mayor de Fútbol de Panamá, informó el Instituto Panameño de Deportes (Pandepo...",https://www.prensa.com/vivir/habilitaran-estadios-y-gimnasios-del-pais-con-pantallas-gigantes-gratis-para-ver-a-la-sele/
La Prensa,‘Yo pude salir adelante gracias a personas que se acercaron a donar sangre’: Gabriel Rebollón,2026-06-15,sociedad,"El doctor Gabriel Rebollón Guardado es médico de medicina general, preventiva y corporativa....",https://www.prensa.com/sociedad/yo-pude-salir-adelante-gracias-a-personas-que-se-acercaron-a-donar-sangre-gabriel-rebollon/
La Prensa,Réplica a la nota titulada ‘Cómo opera la ofensiva digital contra quienes cuestionan la reactivación de una polémica mina de cobre en Panamá’,2026-06-15,opinion,"Panamá, 15 de junio de 2026...",https://www.prensa.com/opinion/replica-a-la-nota-titulada-como-opera-la-ofensiva-digital-contra-quienes-cuestionan-la-reactivacion-de-una-polemica-mina-de-cobre-en-panama/
